month,year,unemp,supp_1,supp_2,supp_3,supp_4,bination_1,bination_2,bination_3,bination_4,trust_1,trust_2,trust_3,trust_4,trust_5,legis_1,legis_2,legis_3,legis_4,milit_1,milit_2,optp_1,optp_2,optp_3,optp_4,method_1,method_2,method_3,rocket_1,rocket_2,bomb_1,bomb_2,bomb_3,bomb_4,intif_1,intif_2,intif_3,intif_4,deadp_1,deadp_2,deadp_3,oslo_1,oslo_2,oslo_3,pi1_1,pi1_2,pi1_3 ,pi1_4,pi2_1,pi2_2,pi2_3 ,pi2_4,pi3_1,pi3_2,pi3_3,pi3_4,pi3_5,pi4_1,pi4_2,pi4_3,pi4_4,pi4_5,fear_1,fear_2,fear_3,fear_4,twostate1_1,twostate1_2,twostate1_3,twostate1_4,twostate2_1,twostate2_2,twostate2_3,twostate2_4
May,1995,10.2,NA,NA,NA,NA,NA,NA,NA,NA,37.7,15.3,3.2,7.2,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,1995,7.9,NA,NA,NA,NA,NA,NA,NA,NA,46.6,18.2,4.4,5.4,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.8,52.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,1995,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,24.3,62.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,1995,7.8,NA,72.7,17.8,NA,NA,NA,NA,NA,41.3,10.7,3.6,3.3,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7,41.9,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,1995,NA,NA,77.9,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.8,27.3,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9,12.3,2.3,3.3,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.2,11.5,2.7,5.8,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
